[e]   fde
[ei]  fdei
[o]   fdo
[oi]  fdoi
[w]   fdw
[wi]  fdwi
[r]   fdr
[ri]  fdri
[i]   fdi
[ii]  fdii
[p]   fdp
[pi]  fdpi
[f]   fdf
[fi]  fdfi
[n]   fdn
[ni]  fdni
[s]   fds
[si]  fdsi
[a]   fda
[ai]  fdai
[b]   fdb
[bi]  fdbi
[c]   fdc
[ci]  fdci
[d]   fdd
[di]  fddi
[t]   fdt
[ti]  fdti
[h]   fdh
[hi]  fdhi
[/e]  fdee
[/o]  fdoe
[/w]  fdwe
[/r]  fdre
[/i]  fdie
[/p]  fdpe
[/f]  fdfe
[/n]   fdne
[/s]   fdse
[/a]   fdae
[/b]   fdbe
[/c]   fdce
[/d]   fdde
[/t]   fdte
[/h]   fdhe
